Roll_No,Mid_Term_Agg,Lab,Quiz1,Branch_cov,CP_grade_cov,CP_Lab_grade_cov
17UCS139,7.92,7,4.5,3,0,1
17UCS022,11.25,15,5.5,3,2,6
17UCS141,15.0,11,6.5,3,4,4
17UCS046,6.25,10,6.0,3,3,1
17UME056,7.92,16,4.0,2,1,4
17UEC020,11.25,20,5.0,1,6,6
17UCS124,10.0,11,8.0,3,3,3
17UCC020,15.0,22,7.5,4,3,6
17UCS058,11.25,16,6.5,3,2,4
17UEC073,10.83,16,5.0,1,3,6
17UME044,9.17,12,6.5,2,3,3
17UCC045,17.08,12,5.0,4,2,7
17UCS024,14.58,11,7.0,3,3,5
17UCS017,10.83,16,5.5,3,3,5
17UCS067,12.5,8,7.0,3,2,3
17UEC078,9.17,15,4.0,1,3,4
17UCS089,11.25,12,8.5,3,1,2
17UCS031,16.25,20,6.0,3,5,6
17UCS087,22.08,21,7.5,3,7,6
17UCS158,17.08,22,6.5,3,5,6
17DCS017,12.5,19,7.5,5,6,6
17UEC096,7.08,12,7.5,1,2,2
17UME041,14.58,15,6.5,2,3,6
17UCS098,10.42,15,6.0,3,4,6
17UCS120,9.17,10,5.0,3,2,4
17UCC018,14.17,17,8.0,4,5,6
17UCS159,18.75,20,7.5,3,3,3
17UCS149,3.75,8,7.5,3,0,0
17UEC145,11.25,17,5.5,1,4,6
17UEC090,8.33,11,6.5,1,2,4
17DEC005,15.0,12,6.5,0,2,5
17UEC135,11.25,10,5.5,1,1,5
17UEC068,7.5,16,7.0,1,2,4
17UCS005,12.92,18,7.0,3,3,4
17UEC009,7.92,16,7.5,1,2,3
17UCS045,15.0,13,6.0,3,3,4
17UCS016,12.92,12,6.5,3,4,4
17UME067,13.75,10,3.5,2,3,5
17UCS171,5.83,17,6.0,3,1,5
17UCS003,16.25,20,7.0,3,5,6
17UCS182,16.25,17,6.5,3,5,4
17UCS061,16.25,12,7.0,3,3,5
17UEC003,4.17,14,3.5,1,0,0
17UCS133,12.5,20,5.5,3,3,6
17UCS151,11.25,12,6.0,3,1,3
17UCS029,12.5,15,7.5,3,2,5
17UEC089,11.67,17,5.0,1,1,4
17DCS004,20.42,19,7.0,5,7,7
17UCS026,16.25,17,7.0,3,6,7
17UCS007,13.33,11,4.5,3,3,4
17UME013,5.83,15,7.0,2,1,4
17UEC001,13.33,23,6.5,1,4,4
17UEC146,11.67,12,5.5,1,4,6
17UME028,10.42,7,6.5,2,1,1
17UEC011,11.25,18,5.5,1,3,2
17UEC007,11.25,16,5.0,1,1,2
17UCC039,15.0,20,7.0,4,3,5
17UCC016,15.42,13,4.0,4,5,6
17UME026,6.67,6,2.5,2,1,2
17UME064,13.33,11,0.0,2,3,6
17UCC006,6.67,19,7.5,4,6,6
17UEC064,14.58,22,6.0,1,5,5
17UEC128,6.67,8,7.0,1,0,2
17UME060,7.08,16,6.0,2,3,4
17UME003,6.67,8,6.5,2,0,2
17UEC037,12.92,16,6.5,1,1,3
17UME012,2.5,17,5.5,2,1,2
17UCC019,12.08,15,8.0,4,2,6
17DCS005,7.92,20,7.0,5,5,7
17UCC002,11.25,11,5.5,4,3,4
17UEC106,7.5,13,5.5,1,0,4
17UEC140,5.42,8,3.0,1,0,3
17UEC002,9.58,21,7.0,1,4,5
17UCS177,16.67,24,8.0,3,3,7
17UEC041,16.25,23,5.0,1,3,6
17UCS128,12.92,12,4.5,3,2,1
17UEC048,7.92,12,5.5,1,2,1
17UCC042,7.5,9,8.0,4,1,4
17UME023,11.67,15,4.5,2,2,5
17UCS085,14.17,14,8.0,3,1,2
17UCC028,15.83,19,5.0,4,3,6
17UEC061,8.75,17,4.5,1,4,4
17UCS170,12.08,16,7.5,3,6,5
17UCC063,10.0,9,6.0,4,2,3
17UCS076,20.42,23,8.5,3,7,6
17UME042,9.58,13,6.0,2,1,4
17UEC082,12.92,9,4.5,1,2,3
17UCS167,12.08,19,7.0,3,0,3
17UEC012,8.75,15,5.5,1,2,1
17UCC056,5.42,7,5.0,4,0,2
17UCS113,16.25,7,5.5,3,4,4
17UCS153,12.5,13,7.5,3,0,4
17UCS168,10.83,9,6.5,3,1,2
17UEC092,8.75,17,6.0,1,3,5
17UEC123,14.17,21,6.0,1,2,4
17UEC101,16.25,17,5.5,1,6,7
17UCC009,12.08,19,5.5,4,3,5
17DCS008,16.67,20,7.5,5,5,7
17UCS036,15.0,22,7.5,3,5,6
17UEC035,7.5,9,5.5,1,0,1
17UCC008,11.67,14,8.0,4,3,4
17UEC109,11.25,13,7.5,1,2,5
17UCC074,14.58,20,7.0,4,5,6
17UCC069,13.33,15,8.0,4,6,6
17UCS060,14.17,16,7.5,3,3,4
17UEC004,8.75,13,5.5,1,2,2
17DCS016,13.75,19,5.5,5,3,5
17UEC138,12.92,10,6.0,1,2,3
17UCS006,5.0,8,5.5,3,3,4
17UCC059,10.83,10,7.0,4,1,1
17UCS160,15.83,24,6.5,3,3,6
17UEC054,15.0,18,6.0,1,3,6
17UEC046,13.75,16,7.5,1,2,7
17UEC074,1.25,7,6.5,1,0,0
17UEC081,12.08,15,6.0,1,2,4
17UCS010,12.5,11,5.0,3,2,5
17UCC051,10.83,9,8.5,4,1,3
17DEC004,13.33,13,7.0,0,4,7
17UCS083,13.75,18,5.5,3,3,5
17UCS038,12.5,9,6.0,3,1,4
17UCC029,16.67,14,5.5,4,5,5
17UEC063,16.67,18,5.5,1,5,6
17UME031,12.92,17,6.0,2,2,6
17UCS107,9.58,11,6.0,3,4,3
17UEC095,11.67,10,4.5,1,2,3
17UCS111,17.08,20,8.0,3,5,7
17UEC129,10.42,11,6.0,1,4,5
17UEC126,8.33,13,4.5,1,3,6
17UEC091,11.67,13,6.0,1,1,3
17UCS092,15.83,18,8.0,3,6,5
17UEC042,13.75,20,5.5,1,3,6
17UEC059,7.92,10,6.5,1,1,1
17UCS125,17.5,22,7.5,3,6,7
17UEC043,13.75,20,6.5,1,3,6
17UCS002,18.75,21,5.5,3,6,7
17UCS096,17.92,21,6.0,3,5,5
17UCC026,17.92,17,7.5,4,5,5
17UCS070,18.33,25,8.5,3,5,7
