Roll_No,Final_grade_cov
17UCS139,0
17UCS022,1
17UCS141,3
17UCS046,1
17UME056,3
17UEC020,4
17UCS124,4
17UCC020,6
17UCS058,4
17UEC073,2
17UME044,3
17UCC045,4
17UCS024,2
17UCS017,4
17UCS067,2
17UEC078,4
17UCS089,4
17UCS031,5
17UCS087,6
17UCS158,6
17DCS017,4
17UEC096,3
17UME041,4
17UCS098,4
17UCS120,3
17UCC018,5
17UCS159,6
17UCS149,1
17UEC145,5
17UEC090,3
17DEC005,3
17UEC135,2
17UEC068,2
17UCS005,5
17UEC009,4
17UCS045,4
17UCS016,4
17UME067,2
17UCS171,3
17UCS003,5
17UCS182,5
17UCS061,5
17UEC003,3
17UCS133,5
17UCS151,3
17UCS029,5
17UEC089,5
17DCS004,6
17UCS026,6
17UCS007,3
17UME013,2
17UEC001,7
17UEC146,4
17UME028,2
17UEC011,3
17UEC007,4
17UCC039,5
17UCC016,4
17UME026,1
17UME064,5
17UCC006,4
17UEC064,5
17UEC128,0
17UME060,3
17UME003,2
17UEC037,3
17UME012,2
17UCC019,4
17DCS005,5
17UCC002,3
17UEC106,3
17UEC140,1
17UEC002,5
17UCS177,7
17UEC041,7
17UCS128,3
17UEC048,1
17UCC042,3
17UME023,3
17UCS085,4
17UCC028,5
17UEC061,4
17UCS170,4
17UCC063,2
17UCS076,7
17UME042,2
17UEC082,3
17UCS167,5
17UEC012,3
17UCC056,1
17UCS113,2
17UCS153,3
17UCS168,3
17UEC092,4
17UEC123,5
17UEC101,5
17UCC009,3
17DCS008,5
17UCS036,6
17UEC035,1
17UCC008,4
17UEC109,4
17UCC074,5
17UCC069,4
17UCS060,4
17UEC004,1
17DCS016,5
17UEC138,3
17UCS006,3
17UCC059,1
17UCS160,6
17UEC054,5
17UEC046,5
17UEC074,0
17UEC081,3
17UCS010,3
17UCC051,3
17DEC004,3
17UCS083,5
17UCS038,2
17UCC029,5
17UEC063,4
17UME031,4
17UCS107,3
17UEC095,4
17UCS111,6
17UEC129,3
17UEC126,4
17UEC091,3
17UCS092,5
17UEC042,6
17UEC059,3
17UCS125,6
17UEC043,5
17UCS002,7
17UCS096,6
17UCC026,5
17UCS070,7
17UCS101,5
17UEC017,4
17UCS183,4
17UCS100,4
17UEC039,1
17UCC004,6
17UCC024,6
17UCS164,3
17UCS173,4
17UCS122,3
17UCS069,2
17UCS023,4
17UCS037,3
17UEC040,1
17UEC015,2
17UEC080,4
17UEC099,4
